Date,Account,StockTicker,CUSIP,SecurityName,Shares,Price,MarketValue,Weightings,NetAssets,SharesOutstanding,CreationUnits
08/28/2026,SPRE,WELL,95040Q104,Welltower Inc,113374,239.6,27164410.4,12.62%,215290635.0,10150000,406.0
08/28/2026,SPRE,PLD,74340W103,Prologis Inc,184995,141.85,26241540.75,12.19%,215290635.0,10150000,406.0
08/28/2026,SPRE,EQIX,29444U700,Equinix Inc,24362,1076.45,26224474.9,12.18%,215290635.0,10150000,406.0
08/28/2026,SPRE,GMG AU,B03FYZ4,Goodman Group,1235432,28.02,24894683.78,11.56%,215290635.0,10150000,406.0
08/28/2026,SPRE,EGP,277276101,EastGroup Properties Inc,51808,200.0,10361600.0,4.81%,215290635.0,10150000,406.0
08/28/2026,SPRE,SUI,866674104,Sun Communities Inc,83365,123.19,10269734.35,4.77%,215290635.0,10150000,406.0
08/28/2026,SPRE,TRNO,88146M101,Terreno Realty Corp,152802,67.11,10254542.22,4.76%,215290635.0,10150000,406.0
08/28/2026,SPRE,ELS,29472R108,Equity LifeStyle Properties Inc,159451,63.91,10190513.41,4.73%,215290635.0,10150000,406.0
08/28/2026,SPRE,WY,962166104,Weyerhaeuser Co,425698,23.7,10089042.6,4.69%,215290635.0,10150000,406.0
08/28/2026,SPRE,CHC AU,B15F6S6,Charter Hall Group,671882,19.84,9586372.74,4.45%,215290635.0,10150000,406.0
08/28/2026,SPRE,PEKGY TI,BDT8SW3,Peker Gayrimenkul Yatirim Ortakligi AS,26386822,16.5,9045030.91,4.20%,215290635.0,10150000,406.0
08/28/2026,SPRE,IGBREIT MK,B89JCF2,IGB Real Estate Investment Trust,12581825,2.77,8641620.44,4.01%,215290635.0,10150000,406.0
08/28/2026,SPRE,CAREIT SP,BSDZ375,Centurion Accommodation Reit,7640753,1.14,6851615.21,3.18%,215290635.0,10150000,406.0
08/28/2026,SPRE,AXREIT MK,B0CMCL8,Axis Real Estate Investment Trust,14404053,1.87,6678794.72,3.10%,215290635.0,10150000,406.0
08/28/2026,SPRE,RCR PM,BLFMKR4,RL Commercial REIT Inc,43953574,7.35,5220519.03,2.42%,215290635.0,10150000,406.0
08/28/2026,SPRE,DUBAIRES UH,BSTQTQ3,Dubai Residential REIT,14915769,1.27,5157582.43,2.40%,215290635.0,10150000,406.0
08/28/2026,SPRE,IMPACT TB,BRCFFZ1,IMPACT Growth Real Estate Investment Trust,4735145,13.6,1958129.14,0.91%,215290635.0,10150000,406.0
08/28/2026,SPRE,PAGYO TI,BB2C7C1,Panora Gayrimenkul Yatirim Ortakligi,432514,151.6,1362192.22,0.63%,215290635.0,10150000,406.0
08/28/2026,SPRE,FRMI,314911108,Fermi Inc,243837,5.45,1328911.65,0.62%,215290635.0,10150000,406.0
08/28/2026,SPRE,SITC,82981J851,SITE Centers Corp,401376,2.98,1196100.48,0.56%,215290635.0,10150000,406.0
08/28/2026,SPRE,AVPGY TI,BNDY4W9,Avrupakent Gayrimenkul Yatirim Ortakligi AS,856616,54.2,964549.44,0.45%,215290635.0,10150000,406.0
08/28/2026,SPRE,CREIT PM,BM8GQ50,Citicore Energy REIT Corp,18641300,3.15,948896.62,0.44%,215290635.0,10150000,406.0
08/28/2026,SPRE,Cash&Other,Cash&Other,Cash & Other,677357,1.0,677357.3,0.31%,215290635.0,10150000,406.0
08/28/2026,SPRE,MYR,CASHMYR,MALAYSIAN RINGGIT,-39032,1.0,-9678.26,0.00%,215290635.0,10150000,406.0
08/28/2026,SPRE,KZBGY TI,BMVFFG8,Kizilbuk Gayrimenkul Yatirim Ortakligi AS,1,1.98,0.03,0.00%,215290635.0,10150000,406.0
08/28/2026,SPRE,SGD,CASHSGD,SINGAPORE DOLLAR,4971,1.0,3910.34,0.00%,215290635.0,10150000,406.0
08/28/2026,SPRE,PHP,CASHPHP,PHILIPPINE PESO,-66547,1.0,-1075.38,0.00%,215290635.0,10150000,406.0
08/28/2026,SPRE,SRVGY TI,B95JG62,Servet Gayrimenkul Yatirim Ortakligi AS,0,2.56,0.03,0.00%,215290635.0,10150000,406.0
08/28/2026,SPRE,THB,CASHTHB,THAI BAHT,164637,1.0,5006.06,0.00%,215290635.0,10150000,406.0
08/28/2026,SPRE,AUD,CASHAUD,AUSTRALIAN DOLLAR,-34192,1.0,-24589.29,-0.01%,215290635.0,10150000,406.0
