# Official SEC N-PORT invstOrSec extract for SPWO accession 0000894189-26-018183 as-of 2026-04-30
# columns: name title cusip isin pctVal invCountry curCd currencyConditional assetCat issuerCat
Fisher & Paykel Healthcare Cor	Fisher & Paykel Healthcare Corp Ltd	N/A	NZFAPE0001S2	0.0614281594	NZ		NZD	EC	CORP
Eclat Textile Co Ltd	Eclat Textile Co Ltd	N/A	TW0001476000	0.0287691257	TW		TWD	EC	CORP
E Ink Holdings Inc	E Ink Holdings Inc	N/A	TW0008069006	0.0470780495	TW		TWD	EC	CORP
Ferrari NV	Ferrari NV	N/A	NL0011585146	0.2003910736	IT		EUR	EC	CORP
Dr Sulaiman Al Habib Medical S	Dr Sulaiman Al Habib Medical Services Group Co	N/A	SA1510P1UMH1	0.0754821097	SA		SAR	EC	CORP
Elm Co	Elm Co	N/A	SA15GG53GHH3	0.0445922217	SA		SAR	EC	CORP
WEG SA	WEG SA	N/A	BRWEGEACNOR0	0.1549100205	BR		BRL	EC	CORP
Sysmex Corp	Sysmex Corp	87184P109	US87184P1093	0.0214808480	JP	USD		EC	CORP
Vipshop Holdings Ltd	Vipshop Holdings Ltd	92763W103	US92763W1036	0.0375063777	CN	USD		EC	CORP
Wolters Kluwer NV	Wolters Kluwer NV	977874205	US9778742059	0.0944863844	NL	USD		EC	CORP
Antofagasta PLC	Antofagasta PLC	N/A	GB0000456144	0.0853451631	CL		GBP	EC	CORP
Ajinomoto Co Inc	Ajinomoto Co Inc	009707308	US0097073086	0.1593019850	JP	USD		EC	CORP
Makita Corp	Makita Corp	560877300	US5608773009	0.0538665347	JP	USD		EC	CORP
MediaTek Inc	MediaTek Inc	N/A	TW0002454006	1.5359395623	TW		TWD	EC	CORP
KE Holdings Inc	KE Holdings Inc	N/A	KYG5223Y1089	0.1250239696	CN		HKD	EC	CORP
Jiangsu Hengrui Pharmaceutical	Jiangsu Hengrui Pharmaceuticals Co Ltd	N/A	CNE0000014W7	0.0447971309	CN		CNY	EC	CORP
J&T Global Express Ltd	J&T Global Express Ltd	N/A	KYG4990A1040	0.0854437504	CN		HKD	EC	CORP
ICON PLC	ICON PLC	N/A	IE0005711209	0.0475072429	IE	USD		EC	CORP
MakeMyTrip Ltd	MakeMyTrip Ltd	N/A	MU0295S00016	0.0377867217	IN	USD		EC	CORP
China Shenhua Energy Co Ltd	China Shenhua Energy Co Ltd	16942A302	US16942A3023	0.2435526442	CN	USD		EC	CORP
Daifuku Co Ltd	Daifuku Co Ltd	233802107	US2338021072	0.0859875390	JP	USD		EC	CORP
Ericsson	Telefonaktiebolaget LM Ericsson	294821608	US2948216088	0.1784269734	SE	USD		EC	CORP
